Areal Rainfall,obs,month
1996-05,58,5
1996-06,260,6
1996-07,227,7
1996-08,170,8
1996-09,426,9
1996-10,311,10
1996-11,248,11
1996-12,140,12
1997-01,29,1
1997-02,67,2
1997-03,90,3
1997-04,345,4
1997-05,395,5
1997-06,180,6
1997-07,290,7
1997-08,131,8
1997-09,446,9
1997-10,514,10
1997-11,541,11
1997-12,277,12
1998-01,115,1
1998-02,122,2
1998-03,126,3
1998-04,235,4
1998-05,401,5
1998-06,247,6
1998-07,287,7
1998-08,280,8
1998-09,308,9
1998-10,297,10
1998-11,296,11
1998-12,409,12
1999-01,144,1
1999-02,275,2
1999-03,226,3
1999-04,445,4
1999-05,438,5
1999-06,286,6
1999-07,122,7
1999-08,297,8
1999-09,227,9
1999-10,419,10
1999-11,357,11
1999-12,217,12
2000-01,144,1
2000-02,325,2
2000-03,260,3
2000-04,142,4
2000-05,180,5
2000-06,307,6
2000-07,81,7
2000-08,269,8
2000-09,320,9
2000-10,203,10
2000-11,221,11
2000-12,253,12
2001-01,361,1
2001-02,111,2
2001-03,94,3
2001-04,410,4
2001-05,178,5
2001-06,144,6
2001-07,201,7
2001-08,85,8
2001-09,315,9
2001-10,333,10
2001-11,297,11
2001-12,313,12
2002-01,89,1
2002-02,133,2
2002-03,194,3
2002-04,487,4
2002-05,294,5
2002-06,207,6
2002-07,167,7
2002-08,193,8
2002-09,113,9
2002-10,441,10
2002-11,363,11
2002-12,271,12
2003-01,108,1
2003-02,61,2
2003-03,324,3
2003-04,355,4
2003-05,223,5
2003-06,118,6
2003-07,294,7
2003-08,199,8
2003-09,249,9
2003-10,285,10
2003-11,384,11
2003-12,80,12
2004-01,104,1
2004-02,129,2
2004-03,186,3
2004-04,410,4
2004-05,404,5
2004-06,230,6
2004-07,236,7
2004-08,116,8
2004-09,408,9
2004-10,425,10
2004-11,245,11
2004-12,265,12
2005-01,150,1
2005-02,100,2
2005-03,272,3
2005-04,373,4
2005-05,194,5
2005-06,223,6
2005-07,205,7
2005-08,128,8
2005-09,252,9
2005-10,365,10
2005-11,445,11
2005-12,179,12
2006-01,166,1
2006-02,140,2
2006-03,318,3
2006-04,224,4
2006-05,292,5
2006-06,255,6
2006-07,126,7
2006-08,267,8
2006-09,191,9
2006-10,572,10
2006-11,510,11
2006-12,190,12
2007-01,89,1
2007-02,78,2
2007-03,123,3
2007-04,446,4
2007-05,167,5
2007-06,212,6
2007-07,161,7
2007-08,287,8
2007-09,359,9
2007-10,394,10
2007-11,304,11
2007-12,229,12
2008-01,196,1
2008-02,311,2
