Areal Rainfall,obs,month
1998-08,232,8
1998-09,309,9
1998-10,378,10
1998-11,335,11
1998-12,431,12
1999-01,103,1
1999-02,200,2
1999-03,88,3
1999-04,578,4
1999-05,418,5
1999-06,139,6
1999-07,130,7
1999-08,153,8
1999-09,256,9
1999-10,639,10
1999-11,316,11
1999-12,167,12
2000-01,164,1
2000-02,168,2
2000-03,165,3
2000-04,169,4
2000-05,296,5
2000-06,189,6
2000-07,58,7
2000-08,253,8
2000-09,418,9
2000-10,289,10
2000-11,239,11
2000-12,105,12
2001-01,203,1
2001-02,80,2
2001-03,62,3
2001-04,294,4
2001-05,189,5
2001-06,131,6
2001-07,73,7
2001-08,10,8
2001-09,252,9
2001-10,245,10
2001-11,224,11
2001-12,142,12
2002-01,69,1
2002-02,83,2
2002-03,101,3
2002-04,358,4
2002-05,306,5
2002-06,115,6
2002-07,51,7
2002-08,49,8
2002-09,66,9
2002-10,492,10
2002-11,174,11
2002-12,231,12
2003-01,131,1
2003-02,83,2
2003-03,295,3
2003-04,192,4
2003-05,294,5
2003-06,183,6
2003-07,263,7
2003-08,118,8
2003-09,230,9
2003-10,201,10
2003-11,315,11
2003-12,58,12
2004-01,55,1
2004-02,44,2
2004-03,55,3
2004-04,217,4
2004-05,287,5
2004-06,216,6
2004-07,225,7
2004-08,109,8
2004-09,494,9
2004-10,422,10
2004-11,451,11
2004-12,195,12
2005-01,165,1
2005-02,53,2
2005-03,179,3
2005-04,277,4
2005-05,332,5
2005-06,274,6
2005-07,141,7
2005-08,71,8
2005-09,151,9
2005-10,548,10
2005-11,833,11
2005-12,213,12
2006-01,221,1
2006-02,127,2
2006-03,184,3
2006-04,127,4
2006-05,250,5
2006-06,230,6
2006-07,98,7
2006-08,330,8
2006-09,169,9
2006-10,694,10
2006-11,562,11
2006-12,113,12
2007-01,105,1
2007-02,16,2
2007-03,58,3
2007-04,441,4
2007-05,313,5
2007-06,125,6
2007-07,153,7
2007-08,246,8
2007-09,219,9
2007-10,385,10
2007-11,255,11
2007-12,145,12
2008-01,101,1
2008-02,197,2
2008-03,304,3
2008-04,581,4
2008-05,313,5
2008-06,331,6
2008-07,275,7
2008-08,178,8
